Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
Wes Welker,28,NWE,14,13,162,123,1348,11.0,4,71,66.0,58,8.8,96.3,75.9,8.3,2,"PB,AP-1"
Steve Smith,24,NYG,16,15,157,107,1220,11.4,7,62,58.0,51,6.7,76.3,68.2,7.8,0,PB
Andre Johnson,28,HOU,16,16,171,101,1569,15.5,9,70,49.1,72,6.3,98.1,59.1,9.2,1,"PB,AP-1"
Brandon Marshall,25,DEN,15,13,154,101,1120,11.1,10,55,45.5,75,6.7,74.7,65.6,7.3,0,PB
Dallas Clark,30,IND,16,16,133,100,1106,11.1,10,61,60.9,80,6.3,69.1,75.2,8.3,1,"PB,AP-1"
Reggie Wayne,31,IND,16,16,149,100,1264,12.6,10,73,59.1,65,6.3,79.0,67.1,8.5,0,"PB,AP-2"
Larry Fitzgerald,26,ARI,16,16,153,97,1092,11.3,13,68,53.6,34,6.1,68.3,63.4,7.1,0,"PB,AP-2"
Hines Ward,33,PIT,16,16,137,95,1167,12.3,6,56,57.7,54,5.9,72.9,69.3,8.5,2,
Jason Witten,27,DAL,16,16,124,94,1030,11.0,2,49,58.9,69,5.9,64.4,75.8,8.3,0,PB
Roddy White,28,ATL,16,16,165,85,1153,13.6,11,54,43.0,90,5.3,72.1,51.5,7.0,1,PB
Anquan Boldin,29,ARI,15,15,127,84,1024,12.2,4,49,55.9,44,5.6,68.3,66.1,8.1,3,
Tony Gonzalez,33,ATL,16,16,134,83,867,10.4,6,55,54.5,27,5.2,54.2,61.9,6.5,0,
Randy Moss,32,NWE,16,16,137,83,1264,15.2,13,62,57.7,71,5.2,79.0,60.6,9.2,2,
Sidney Rice,23,MIN,16,14,121,83,1312,15.8,8,60,63.6,63,5.2,82.0,68.6,10.8,1,PB
Miles Austin,25,DAL,16,9,124,81,1320,16.3,11,58,55.6,60,5.1,82.5,65.3,10.6,1,PB
Antonio Gates,29,SDG,16,16,114,79,1157,14.6,8,61,62.3,56,4.9,72.3,69.3,10.1,1,"PB,AP-2"
Santonio Holmes,25,PIT,16,16,138,79,1248,15.8,5,62,54.3,57,4.9,78.0,57.2,9.0,0,
T.J. Houshmandzadeh,32,SEA,16,16,135,79,911,11.5,3,52,50.4,53,4.9,56.9,58.5,6.7,2,
Vernon Davis,25,SFO,16,16,128,78,965,12.4,13,38,46.1,73,4.9,60.3,60.9,7.5,0,PB
Ray Rice,22,BAL,16,15,101,78,702,9.0,1,27,46.5,63,4.9,43.9,77.2,7.0,3,"PB,AP-2"
Kellen Winslow,26,TAM,16,14,127,77,884,11.5,5,46,48.0,42,4.8,55.3,60.6,7.0,0,
Davone Bess,24,MIA,16,2,113,76,758,10.0,2,48,53.1,34,4.8,47.4,67.3,6.7,6,
Brent Celek,24,PHI,16,15,112,76,971,12.8,8,39,50.9,47,4.8,60.7,67.9,8.7,0,
Heath Miller,27,PIT,16,16,98,76,789,10.4,6,37,60.2,41,4.8,49.3,77.6,8.1,2,PB
Derrick Mason,35,BAL,16,16,134,73,1028,14.1,7,55,50.7,72,4.6,64.3,54.5,7.7,0,
Chad Johnson,31,CIN,16,15,128,72,1047,14.5,9,55,52.3,50,4.5,65.4,56.3,8.2,2,PB
Marques Colston,26,NOR,16,14,107,70,1074,15.3,9,54,59.8,68,4.4,67.1,65.4,10.0,2,
Donald Driver,34,GNB,16,16,113,70,1061,15.2,6,48,53.1,71,4.4,66.3,61.9,9.4,2,
Santana Moss,30,WAS,16,16,120,70,902,12.9,3,40,44.2,59,4.4,56.4,58.3,7.5,2,
Vincent Jackson,26,SDG,15,15,108,68,1167,17.2,9,57,60.2,55,4.5,77.8,63.0,10.8,0,PB
Greg Jennings,26,GNB,16,13,119,68,1113,16.4,4,49,52.1,83,4.3,69.6,57.1,9.4,0,
Calvin Johnson,24,DET,14,14,137,67,984,14.7,5,46,42.3,75,4.8,70.3,48.9,7.2,3,
Zach Miller,24,OAK,15,15,99,66,805,12.2,3,30,47.5,86,4.4,53.7,66.7,8.1,0,
Steve Smith Sr.,30,CAR,15,15,129,65,982,15.1,7,42,40.3,66,4.3,65.5,50.4,7.6,1,
Nate Burleson,28,SEA,13,12,103,63,812,12.9,3,41,56.3,44,4.8,62.5,61.2,7.9,3,
Tim Hightower,23,ARI,16,16,80,63,428,6.8,0,22,45.0,23,3.9,26.8,78.8,5.4,5,
Mike Sims-Walker,25,JAX,15,14,111,63,869,13.8,7,43,51.4,61,4.2,57.9,56.8,7.8,2,
DeSean Jackson,23,PHI,15,15,117,62,1156,18.6,9,40,45.3,71,4.1,77.1,53.0,9.9,3,"PB,AP-2"
Austin Collie,24,IND,16,5,89,60,676,11.3,7,37,58.4,39,3.8,42.3,67.4,7.6,0,
Percy Harvin,21,MIN,15,8,91,60,790,13.2,6,43,53.8,51,4.0,52.7,65.9,8.7,1,"PB,AP ORoY-1"
Greg Olsen,24,CHI,16,15,108,60,612,10.2,8,33,42.6,41,3.8,38.3,55.6,5.7,0,
Jerricho Cotchery,27,NYJ,14,12,96,57,821,14.4,3,44,56.3,53,4.1,58.6,59.4,8.6,1,
Matt Forte,24,CHI,16,16,72,57,471,8.3,0,17,37.5,37,3.6,29.4,79.2,6.5,6,
Devin Hester,27,CHI,13,12,91,57,757,13.3,3,34,51.6,48,4.4,58.2,62.6,8.3,3,
Mario Manningham,23,NYG,14,10,99,57,822,14.4,5,40,50.5,49,4.1,58.7,57.6,8.3,1,
Jeremy Maclin,21,PHI,15,13,91,56,773,13.8,4,31,48.4,56,3.7,51.5,61.5,8.5,0,AP ORoY-3
Visanthe Shiancoe,29,MIN,16,13,79,56,566,10.1,11,38,65.8,27,3.5,35.4,70.9,7.2,0,
Bernard Berrian,29,MIN,16,15,92,55,618,11.2,4,35,50.0,40,3.4,38.6,59.8,6.7,0,
Steve Breaston,26,ARI,15,6,82,55,712,12.9,3,33,56.1,45,3.7,47.5,67.1,8.7,2,
Jermichael Finley,22,GNB,13,10,72,55,676,12.3,5,30,63.9,62,4.2,52.0,76.4,9.4,1,
Terrell Owens,36,BUF,16,16,109,55,829,15.1,5,35,42.2,98,3.4,51.8,50.5,7.6,1,
Earl Bennett,22,CHI,16,15,88,54,717,13.3,2,32,50.0,71,3.4,44.8,61.4,8.1,2,
