Player,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
CeeDee Lamb,24.0,DAL,17.0,17.0,181.0,135.0,1749.0,13.0,12.0,80.0,63.5,92.0,7.9,102.9,74.6,9.7,3.0,"PB,AP-1,AP OPoY-3"
Tyreek Hill,29.0,MIA,16.0,16.0,171.0,119.0,1799.0,15.1,13.0,83.0,57.9,78.0,7.4,112.4,69.6,10.5,1.0,"PB,AP-1,AP MVP-6,AP OPoY-2"
Amon-Ra St. Brown,24.0,DET,16.0,16.0,164.0,119.0,1515.0,12.7,10.0,75.0,61.6,70.0,7.4,94.7,72.6,9.2,1.0,"PB,AP-1"
Evan Engram,29.0,JAX,17.0,15.0,143.0,114.0,963.0,8.4,4.0,47.0,53.1,34.0,6.7,56.6,79.7,6.7,3.0,PB
Michael Pittman Jr.,26.0,IND,16.0,15.0,156.0,109.0,1152.0,10.6,4.0,53.0,51.9,75.0,6.8,72.0,69.9,7.4,2.0,
Keenan Allen,31.0,LAC,13.0,13.0,150.0,108.0,1243.0,11.5,7.0,57.0,58.7,42.0,8.3,95.6,72.0,8.3,2.0,PB
Stefon Diggs,30.0,BUF,17.0,17.0,160.0,107.0,1183.0,11.1,8.0,58.0,55.0,55.0,6.3,69.6,66.9,7.4,2.0,PB
A.J. Brown,26.0,PHI,17.0,17.0,158.0,106.0,1456.0,13.7,7.0,70.0,56.3,59.0,6.2,85.6,67.1,9.2,2.0,"PB,AP-2"
Puka Nacua,22.0,LAR,17.0,17.0,160.0,105.0,1486.0,14.2,6.0,68.0,56.9,80.0,6.2,87.4,65.6,9.3,1.0,"PB,AP-2,AP ORoY-2"
Davante Adams,31.0,LVR,17.0,17.0,175.0,103.0,1144.0,11.1,8.0,59.0,48.6,46.0,6.1,67.3,58.9,6.5,0.0,
Adam Thielen,33.0,CAR,17.0,17.0,137.0,103.0,1014.0,9.8,4.0,56.0,58.4,32.0,6.1,59.6,75.2,7.4,2.0,
Ja'Marr Chase,23.0,CIN,16.0,16.0,145.0,100.0,1216.0,12.2,7.0,63.0,56.6,76.0,6.3,76.0,69.0,8.4,1.0,PB
D.J. Moore,26.0,CHI,17.0,17.0,136.0,96.0,1364.0,14.2,8.0,64.0,59.6,58.0,5.6,80.2,70.6,10.0,1.0,
T.J. Hockenson,26.0,MIN,15.0,11.0,127.0,95.0,960.0,10.1,5.0,48.0,53.5,29.0,6.3,64.0,74.8,7.6,1.0,
Garrett Wilson,23.0,NYJ,17.0,17.0,168.0,95.0,1042.0,11.0,3.0,47.0,44.0,68.0,5.6,61.3,56.5,6.2,2.0,
Travis Kelce,34.0,KAN,15.0,15.0,121.0,93.0,984.0,10.6,5.0,50.0,62.0,53.0,6.2,65.6,76.9,8.1,1.0,PB
Chris Olave,23.0,NOR,16.0,11.0,138.0,87.0,1123.0,12.9,5.0,57.0,53.6,51.0,5.4,70.2,63.0,8.1,0.0,
Sam LaPorta,22.0,DET,17.0,14.0,120.0,86.0,889.0,10.3,10.0,48.0,55.8,48.0,5.1,52.3,71.7,7.4,0.0,"PB,AP-2,AP ORoY-3"
Chris Godwin,27.0,TAM,17.0,17.0,130.0,83.0,1024.0,12.3,2.0,53.0,50.0,47.0,4.9,60.2,63.8,7.9,0.0,
Trey McBride,24.0,ARI,17.0,12.0,106.0,81.0,825.0,10.2,3.0,42.0,57.5,38.0,4.8,48.5,76.4,7.8,1.0,
David Njoku,27.0,CLE,16.0,16.0,123.0,81.0,882.0,10.9,6.0,35.0,43.9,43.0,5.1,55.1,65.9,7.2,2.0,PB
